clics_db_id,group_number,premium_payment_type,group_policy_type,category,group_type,effective_date
113,47640,Annually,Group,MultiNational,SME,2020-07-12
114,60835,Annually,Group,MultiNational,SME,2020-03-11
115,60484,Annually,Group,MultiNational,SME,2017-08-25
116,60043,Annually,Group,MultiNational,SME,2014-04-18
117,50849,Annually,Group,MultiNational,SME,2013-08-05
118,47601,Annually,Group,MultiNational,SME,2020-11-07
119,60225,Annually,Group,MultiNational,SME,2001-04-07
120,38295,Annually,Group,MultiNational,SME,2020-01-01
121,60777,Annually,Group,MultiNational,SME,2019-11-01
122,60810,Annually,Group,MultiNational,SME,2020-01-26
123,60826,Annually,Group,MultiNational,SME,2020-02-27
124,475750198,Annually,Group,MultiNational,SME,2020-06-27
125,60588,Annually,Group,MultiNational,SME,2020-11-01
126,475717606,Annually,Group,MultiNational,SME,2020-02-25
127,475750217,Annually,Group,MultiNational,SME,2020-06-01
128,60910,Annually,Group,MultiNational,SME,2020-10-25
129,60865,Annually,Group,Local,Standard,2020-07-05
130,60920,Annually,Group,MultiNational,SME,2020-11-25
131,60905,Annually,Group,MultiNational,SME,2020-10-13
132,44238,Annually,Group,MultiNational,SME,2019-11-30
133,50860,Annually,Group,MultiNational,SME,2020-12-04
134,60808,Annually,Group,MultiNational,SME,2020-01-20
135,60770,Annually,Group,MultiNational,SME,2019-10-03
136,60903,Annually,Group,MultiNational,SME,2020-10-06
137,60935,Annually,Group,MultiNational,SME,2021-01-01
138,60814,Annually,Group,MultiNational,SME,2020-01-29
139,60794,Annually,Group,MultiNational,SME,2020-12-04
140,60638,Annually,Group,MultiNational,SME,2020-10-07
141,60902,Annually,Group,MultiNational,SME,2020-10-04
142,60876,Annually,Group,MultiNational,SME,2020-07-23
143,60840,Annually,Group,MultiNational,SME,2020-03-24
144,60922,Annually,Group,MultiNational,SME,2020-11-26
145,60861,Semi-Annually,Group,MultiNational,SME,2020-07-01
146,60886,Annually,Group,MultiNational,SME,2020-12-01
147,60890,Annually,Group,MultiNational,SME,2020-09-07
148,60873,Annually,Group,MultiNational,SME,2020-07-19
149,60860,Annually,Group,MultiNational,SME,2020-06-25
150,60941,Annually,Group,MultiNational,SME,2021-01-01
151,50861,Annually,Group,MultiNational,SME,2020-09-04
152,60340,Annually,Group,MultiNational,SME,2016-07-01
153,60634,Annually,Group,MultiNational,SME,2020-10-11
154,60624,Annually,Group,MultiNational,SME,2020-09-13
155,475730088,Annually,Group,MultiNational,SME,2020-02-03
156,60273,Annually,Group,MultiNational,SME,2016-02-03
157,50870,Annually,Group,MultiNational,SME,2021-01-01
158,475720214,Annually,Group,MultiNational,SME,2021-01-01
159,60670,Annually,Group,MultiNational,SME,2021-02-03
160,60824,Annually,Group,MultiNational,SME,2020-02-14
161,60081,Annually,Group,MultiNational,SME,2020-09-01
162,60373,Annually,Group,MultiNational,SME,2020-11-14
163,60841,Annually,Group,MultiNational,SME,2020-03-10
164,60618,Annually,Group,MultiNational,SME,2020-08-06
165,60954,Annually,Group,Local,Standard,2021-02-01
166,47909,Annually,Group,MultiNational,SME,2021-01-01
167,36369,Annually,Group,MultiNational,SME,2021-01-01
168,44960,Annually,Group,MultiNational,SME,2021-01-01
169,44961,Annually,Group,MultiNational,SME,2021-01-01
170,475740053,Annually,Group,MultiNational,SME,2020-05-11
