clics_db_id,start_date,end_date,parent_id
5487,2023-01-01,NULL,64758
5488,2024-01-01,NULL,64759
5489,2024-01-01,NULL,64760
5490,2023-01-01,NULL,64761
5491,2024-01-01,NULL,64762
5492,2024-01-01,NULL,64763
5493,2024-01-01,NULL,64764
5494,2024-01-01,NULL,64765
5495,2023-01-01,NULL,64766
5496,2024-01-01,NULL,64767
5497,2024-01-01,NULL,64768
5498,2024-01-01,NULL,64769
5499,2024-01-01,NULL,64770
5500,2023-01-01,NULL,64771
5501,2024-01-01,NULL,64772
5502,2024-01-01,NULL,64773
5503,2024-01-01,NULL,64774
5504,2024-01-01,NULL,64775
5505,2024-01-01,NULL,64776
5506,2024-01-01,NULL,64777
5507,2024-01-01,NULL,64778
5508,2024-01-01,NULL,64779
5509,2024-01-01,NULL,64780
5510,2024-01-01,NULL,64781
5511,2023-01-01,NULL,64782
5512,2024-01-01,NULL,64783
5513,2024-01-01,NULL,64784
5514,2024-01-01,NULL,64785
5515,2024-01-01,NULL,64786
5516,2024-01-01,NULL,64787
5517,2024-01-01,NULL,64788
5518,2024-01-01,NULL,64789
5519,2024-01-01,NULL,64790
5520,2024-01-01,NULL,64791
5521,2024-01-01,NULL,64792
5522,2024-01-01,NULL,64793
5523,2023-01-01,NULL,64794
5524,2023-01-01,NULL,64795
5525,2024-01-01,NULL,64796
5526,2023-01-01,NULL,64797
5527,2024-01-01,NULL,64798
5528,2023-01-01,NULL,64799
5529,2024-01-01,NULL,64800
5530,2024-01-01,NULL,64801
5531,2024-01-01,NULL,64802
5532,2024-01-01,NULL,64803
5533,2024-01-01,NULL,64804
5534,2024-01-01,NULL,64805
5535,2024-01-01,NULL,64806
5536,2024-01-01,NULL,64807
5537,2023-01-01,NULL,64808
5538,2024-01-01,NULL,64809
5539,2024-01-01,NULL,64810
5540,2023-01-01,NULL,64811
5541,2023-01-01,NULL,64812
5542,2023-01-01,NULL,64813
5543,2024-01-01,NULL,64814
5544,2024-01-01,NULL,64815
5545,2024-01-01,NULL,64816
5546,2024-01-01,NULL,64817
5547,2024-01-01,NULL,64818
5548,2023-01-01,NULL,64819
5549,2024-01-01,NULL,64820
5550,2024-01-01,NULL,64821
5551,2024-01-01,NULL,64822
5552,2024-01-01,NULL,64823
5553,2024-01-01,NULL,64824
5554,2024-01-01,NULL,64825
5555,2024-01-01,NULL,64826
5556,2024-01-01,NULL,64827
5557,2024-01-01,NULL,64828
5558,2024-01-01,NULL,64829
5559,2024-01-01,NULL,64830
5560,2024-01-01,NULL,64831
5561,2024-01-01,NULL,64832
5562,2024-01-01,NULL,64833
5563,2023-01-01,NULL,64834
5564,2024-01-01,NULL,64835
5565,2024-01-01,NULL,64836
5566,2024-01-01,NULL,64837
5567,2024-01-01,NULL,64838
5568,2024-01-01,NULL,64839
5569,2023-01-01,NULL,64840
5570,2023-01-01,NULL,64841
5571,2024-01-01,NULL,64842
5572,2024-01-01,NULL,64843
5573,2023-01-01,NULL,64844
5574,2024-01-01,NULL,64845
5575,2024-01-01,NULL,64846
5576,2024-01-01,NULL,64847
5577,2023-01-01,NULL,64848
5578,2023-01-01,NULL,64849
5579,2024-01-01,NULL,64850
5580,2024-01-01,NULL,64851
5581,2024-01-01,NULL,64852
5582,2024-01-01,NULL,64853
5583,2024-01-01,NULL,64854
5584,2023-01-01,NULL,64855
5585,2024-01-01,NULL,64856
5586,2024-01-01,NULL,64857
5587,2024-01-01,NULL,64858
5588,2023-01-01,NULL,64859
5589,2023-01-01,NULL,64860
5590,2024-01-01,NULL,64861
5591,2024-01-01,NULL,64862
5592,2023-01-01,NULL,64863
5593,2023-01-01,NULL,64864
5594,2024-01-01,NULL,64865
5595,2024-01-01,NULL,64866
5596,2024-01-01,NULL,64867
5597,2024-01-01,NULL,64868
5598,2024-01-01,NULL,64869
5599,2024-01-01,NULL,64870
5600,2024-01-01,NULL,64871
5601,2024-01-01,NULL,64872
5602,2023-01-01,NULL,64873
5603,2023-01-01,NULL,64874
5604,2024-01-01,NULL,64875
5605,2023-01-01,NULL,64876
5606,2023-01-01,NULL,64877
5607,2024-01-01,NULL,64878
5608,2024-01-01,NULL,64879
5609,2023-01-01,NULL,64880
5610,2024-01-01,NULL,64881
5611,2024-01-01,NULL,64882
